"CUSTOMER_ID","FIRST_NAME","LAST_NAME","GENDER","DOB"
"C000001","Marty","McFly","M",1970-01-01 00:00:00
"C000002","Aurora","Lane","F",1970-01-02 00:00:00
"C000003","Rita","Vrataski","F",1970-01-03 00:00:00
"C000004","William","Cage","M",1970-01-04 00:00:00
"C000005","Stanley","Ipkiss","M",1970-01-05 00:00:00
"C000006","Tina","Carlyle","F",1970-01-06 00:00:00
"C000007","First 000007","Last 000007","M",1970-01-08 00:00:00
"C000008","First 000008","Last 000008","F",1970-01-09 00:00:00
"C000009","First 000009","Last 000009","M",1970-01-10 00:00:00
"C000010","First 000010","Last 000010","F",1970-01-11 00:00:00
"C000011","First 000011","Last 000011","M",1970-01-12 00:00:00
"C000012","First 000012","Last 000012","F",1970-01-13 00:00:00
"C000013","First 000013","Last 000013","M",1970-01-14 00:00:00
"C000014","First 000014","Last 000014","F",1970-01-15 00:00:00
"C000015","First 000015","Last 000015","M",1970-01-16 00:00:00
"C000016","First 000016","Last 000016","F",1970-01-17 00:00:00
"C000017","First 000017","Last 000017","M",1970-01-18 00:00:00
"C000018","First 000018","Last 000018","F",1970-01-19 00:00:00
"C000019","First 000019","Last 000019","M",1970-01-20 00:00:00
"C000020","First 000020","Last 000020","F",1970-01-21 00:00:00
"C000021","First 000021","Last 000021","M",1970-01-22 00:00:00
"C000022","First 000022","Last 000022","F",1970-01-23 00:00:00
"C000023","First 000023","Last 000023","M",1970-01-24 00:00:00
"C000024","First 000024","Last 000024","F",1970-01-25 00:00:00
"C000025","First 000025","Last 000025","M",1970-01-26 00:00:00
"C000026","First 000026","Last 000026","F",1970-01-27 00:00:00
"C000027","First 000027","Last 000027","M",1970-01-28 00:00:00
"C000028","First 000028","Last 000028","F",1970-01-29 00:00:00
"C000029","First 000029","Last 000029","M",1970-01-30 00:00:00
"C000030","First 000030","Last 000030","F",1970-01-31 00:00:00
"C000031","First 000031","Last 000031","M",1970-02-01 00:00:00
"C000032","First 000032","Last 000032","F",1970-02-02 00:00:00
"C000033","First 000033","Last 000033","M",1970-02-03 00:00:00
"C000034","First 000034","Last 000034","F",1970-02-04 00:00:00
"C000035","First 000035","Last 000035","M",1970-02-05 00:00:00
"C000036","First 000036","Last 000036","F",1970-02-06 00:00:00
"C000037","First 000037","Last 000037","M",1970-02-07 00:00:00
"C000038","First 000038","Last 000038","F",1970-02-08 00:00:00
"C000039","First 000039","Last 000039","M",1970-02-09 00:00:00
"C000040","First 000040","Last 000040","F",1970-02-10 00:00:00
"C000041","First 000041","Last 000041","M",1970-02-11 00:00:00
"C000042","First 000042","Last 000042","F",1970-02-12 00:00:00
"C000043","First 000043","Last 000043","M",1970-02-13 00:00:00
"C000044","First 000044","Last 000044","F",1970-02-14 00:00:00
"C000045","First 000045","Last 000045","M",1970-02-15 00:00:00
"C000046","First 000046","Last 000046","F",1970-02-16 00:00:00
"C000047","First 000047","Last 000047","M",1970-02-17 00:00:00
"C000048","First 000048","Last 000048","F",1970-02-18 00:00:00
"C000049","First 000049","Last 000049","M",1970-02-19 00:00:00
"C000050","First 000050","Last 000050","F",1970-02-20 00:00:00
"C000051","First 000051","Last 000051","M",1970-02-21 00:00:00
"C000052","First 000052","Last 000052","F",1970-02-22 00:00:00
"C000053","First 000053","Last 000053","M",1970-02-23 00:00:00
"C000054","First 000054","Last 000054","F",1970-02-24 00:00:00
"C000055","First 000055","Last 000055","M",1970-02-25 00:00:00
"C000056","First 000056","Last 000056","F",1970-02-26 00:00:00
"C000057","First 000057","Last 000057","M",1970-02-27 00:00:00
"C000058","First 000058","Last 000058","F",1970-02-28 00:00:00
"C000059","First 000059","Last 000059","M",1970-03-01 00:00:00
"C000060","First 000060","Last 000060","F",1970-03-02 00:00:00
"C000061","First 000061","Last 000061","M",1970-03-03 00:00:00
"C000062","First 000062","Last 000062","F",1970-03-04 00:00:00
"C000063","First 000063","Last 000063","M",1970-03-05 00:00:00
"C000064","First 000064","Last 000064","F",1970-03-06 00:00:00
"C000065","First 000065","Last 000065","M",1970-03-07 00:00:00
"C000066","First 000066","Last 000066","F",1970-03-08 00:00:00
"C000067","First 000067","Last 000067","M",1970-03-09 00:00:00
"C000068","First 000068","Last 000068","F",1970-03-10 00:00:00
"C000069","First 000069","Last 000069","M",1970-03-11 00:00:00
"C000070","First 000070","Last 000070","F",1970-03-12 00:00:00
